dummy,evals,expr,fitness,len
0,272,((1 / (1 / (-0.12159821))) + (abs((0.16592146 / 0.4301998)) ^ (1 / (-1.4607577)))),-0.06317927,10
0,270,((1 / ((-0.9290151) + 0.93543136)) / (84.873322 + log_v_k_nu)),-0.06413904,8
0,288,((1 / (-3.7640028)) / 780.94232),-3.2979233,4
0,292,((1 / (-4.5026717)) / 947.05908),-3.2975438,4
0,300,((1 / ((-3.3702846) * 3.1889925)) * (((-10.591635) / 0.15106729) / 3.627727)),-0.06317927,10
0,265,((abs((log_v_k_nu / 0.46844706)) ^ log_v_k_nu) / (abs(0.98710638) ^ log_v_k_nu)),-16416.592,9
0,301,(1 / (1 / (1 / (-2020.5184)))),-3.2984812,4
0,302,(0.17625457 + log_v_k_nu),-0.6314542,3
0,303,(log_v_k_nu + 0.17625459),-0.6314542,3
0,305,(1 / log_v_k_nu),-3.4028235e+38,2
0,306,(abs(log_v_k_nu) ^ log_v_k_nu),-103.16772,3
0,307,1.7981994,-0.06317927,1
0,308,(1 / (-2020.5184)),-3.2984812,2
0,313,(1 / 0.55611181),-0.06317927,2
0,319,log_v_k_nu,-0.66251993,1
0,312,(1 / 0.55611163),-0.0631793,2
0,315,((1 / (-0.0085424576)) / ((-66.636276) + log_v_k_nu)),-0.06288467,6
0,318,((log_v_k_nu * 0.025488807) - (1 / (-0.5691762))),-0.062790275,6
0,320,(87.962746 + (-86.164505)),-0.06317928,3
0,316,((log_v_k_nu * 0.025488919) - (259.57458 / (-147.74933))),-0.06279028,7
0,322,(1 / (1 / 1.7982025)),-0.063179314,3
0,321,(abs(log_v_k_nu) ^ 2.0738797),-10.766182,3
0,309,(abs(1.3270278) ^ 2.0738797),-0.06317934,3
0,328,(log_v_k_nu + 0.17625459),-0.6314542,3
0,323,(1 / ((1 / (35.824623 + (-34.026413))) * (1 / 0.99999458))),-0.0631793,8
0,330,(1 / 0.55610752),-0.06317931,2
0,326,(1 / 0.55611187),-0.06317929,2
0,327,(1 / 0.55611175),-0.0631793,2
0,325,((1 / (-54.560707)) / (1 / (1 / (-49.539753)))),-3.2953691,6
0,317,(abs((-1.0106215)) ^ (-0.70707124)),-0.71223885,3
0,333,1.7982025,-0.0631793,1
0,335,(1 / 0.55611116),-0.063179344,2
0,332,(abs(47.696774) ^ (-2254.4592)),-3.2967005,3
0,314,(1 / 0.55611175),-0.0631793,2
